,title,price,previous price
0,"Lenovo L23i-18 Wide 23 inch WLED backlight + In Plane Switching Monitor, 23""","INR 7,267.06","INR 8,912.58 Previous price: INR 8,912.58| 18% off"
1,adidas Ultimate 2.0 Tee Men's,INR 891.33,"INR 1,714.09 Previous price: INR 1,714.09| 47% off"
2,Rivka Friedman White Rhodium Clad Interlocking Ring Necklace,"INR 1,869.04","INR 10,901.61 Previous price: INR 10,901.61| 82% off"
3,adidas Equipment Support ADV Shoes Women's,"INR 3,427.49","INR 7,542.00 Previous price: INR 7,542.00| 54% off"
4,Apple Watch Series 4 - 40mm - 4G Cellular - Aluminum Case Smart Watch,"INR 25,299.97","INR 34,213.23 Previous price: INR 34,213.23| 26% off"
5,"Invicta Men's Speedway 28227 Black Silicone, Stainless Steel Chronograph  Watch","INR 6,170.04","INR 68,220.77 Previous price: INR 68,220.77| 90% off"
6,Thomas Kinkade Disney Dreams Collection 9x12 Framed Matted Prints (Choice of 10),"INR 1,710.66","INR 3,424.75 Previous price: INR 3,424.75| 50% off"
7,"Omega XL 60ct by Great HealthWorks: Small, Potent, Joint Pain Relief - Omega-3","INR 2,536.85","INR 4,936.58 Previous price: INR 4,936.58| 48% off"
8,"Apple MacBook Air Core i5 1.6GHz 8GB RAM 128GB SSD 13"" - MMGF2LL/A","INR 34,279.74","INR 63,420.64 Previous price: INR 63,420.64| 45% off"
9,Microsoft Xbox One X 1TB  - Fallout 76 Bundle,"INR 27,356.87","INR 34,213.23 Previous price: INR 34,213.23| 20% off"
10,Samsung 860 EVO 250GB 2.5 Inch SATA III Internal SSD (MZ-76E250B/AM) NEW,NA,"INR 4,113.13 Previous price: INR 4,113.13"
11,Ninja Chef 1500 Watt High Speed Blender Mixer Processor Duo w/ Single Serve Cup,"INR 8,501.20","INR 20,568.39 Previous price: INR 20,568.39| 58% off"
12,Herman Miller Aeron Chair Open Box Size B Fully Loaded   hardwood caster,"INR 32,506.68","INR 67,123.76 Previous price: INR 67,123.76| 51% off"
13,New Wire Shelving Cart Unit 3 Shelves Shelf Rack Black T53 Layer Tier,"INR 1,370.59","INR 1,713.40 Previous price: INR 1,713.40| 20% off"
14,"Rockville RBG15S 15"" 1600w Active Powered PA Subwoofer w/DSP + Limiter Pro/DJ","INR 17,137.47","INR 41,137.47 Previous price: INR 41,137.47| 58% off"
15,2018 American Gold Eagle (1 oz) $50 - BU,"INR 92,262.60","INR 101,474.12 Previous price: INR 101,474.12| 9% off"
16,"LG OLED77C8PUA 77"" Smart OLED 4K Ultra HD TV with HDR - OLED77C8P","INR 301,611.24","INR 617,003.77 Previous price: INR 617,003.77| 51% off"
17,Battery Tender Junior Junior 12Volt @ .75 Amp 021-0123,"INR 1,435.04","INR 2,083.65 Previous price: INR 2,083.65| 31% off"
18,Remo+ DoorCam World's First and Only Over The Door Smart Camera,"INR 6,787.80","INR 13,644.15 Previous price: INR 13,644.15| 50% off"
19,Mega Bloks American Girl Grace's 2-in-1 Buildable Play Home House Construx CHOP,"INR 2,673.98","INR 6,170.04 Previous price: INR 6,170.04| 56% off"
20,Nikon Z6 Mirrorless Digital Camera (Body Only),"INR 110,386.70","INR 137,123.76 Previous price: INR 137,123.76| 19% off"
21,"eBay-Branded Padded Airjacket With Blue Print 6.5"" x 8.75""","INR 1,769.63",NA
22,HP #63 Combo Ink Cartridges 63 Black & Color NEW GENUINE,"INR 1,559.82","INR 4,113.13 Previous price: INR 4,113.13| 62% off"
23,"Samsonite Carbon 2 20"" Spinner - Luggage","INR 5,827.22","INR 10,970.17 Previous price: INR 10,970.17| 46% off"
